GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-1-djsg2021utec,lab1,Oliver,3,0,0,0,1,0,1,0,1,0
practica-calificada-1-djsg2021utec,lab1,Automovil,0,37,0,2,0,7,0,3,0,2
practica-calificada-1-djsg2021utec,lab1,Camion,0,81,0,4,0,13,0,5,0,3
practica-calificada-1-djsg2021utec,lab1,Labo1,70,0,0,0,18,0,5,0,5,0
practica-calificada-1-djsg2021utec,lab1,Libros,7,0,0,0,5,0,5,0,5,0
practica-calificada-1-djsg2021utec,lab1,Vehiculo,0,55,0,2,0,11,0,3,0,2
practica-calificada-1-djsg2021utec,lab1,Estudiantes,3,0,0,0,1,0,1,0,1,0
practica-calificada-1-djsg2021utec,lab1,IngresoPregunta,25,0,0,0,6,0,2,0,2,0
